Questions,KCCAns
Plant Protection: Pomegranate - REDNNING?,SPRAY MAGNESIUM SULPHATE 60 GM + BAVISTINE 30 GM + DAP 200 GM/15 LITER WATER WITH MAGNESIUM SULPHATE 10 KG/ACRE
Government Schemes: Others - Govt. Schemes,"50-60 % subsidies, guide to visit TAO."
Plant Protection: Bhindi(Okra/Ladysfinger) - Attack of Sucking Pest?,Spray Record 10 gm or Pride 10 gm / 15 lit of water
Plant Protection: Pomegranate - For Flowering ?,Spray Boom flower 20ml/15lit of Water.
Seeds and Planting Material: Onion - varities of onion?,to use panchganga seeds
Plant Protection: Onion - yield of onion,yield of onion = 250 - 300 qt / ha
Fertilizer Use and Availability: Brinjal - Fruit Borer Attack ?,Spray Chloropyriphos 30ml/15 Lit of Water.
Plant Protection: Jasmine - variety of mogra ?,"variety of mogra-madanbaan, gundu malai"
Seeds and Planting Material: Onion - varieties of onion ?,"varieties of onion- N-2-4-1, pusa red ,arka niketan ,agrifoud light red"
Plant Protection: Cotton (Kapas) - Flower Drop?,Spray plano fix 5 ml/15 liter water
Fertilizer Use and Availability: Onion - Sucking Pest?,Spray Actra 5 gm/15 Lit of Water.
Plant Protection: Ginger - attack of rhizome rot on ginger,rhizome rot on ginger -drenching marshal 30 ml + blue copper / Drenching 15 liter water
Weather: Others - Todays weather condition in purandar,"Todays weather condition in purandar is Partly cloudy, no light rainfall"
Nutrient Management: Sugarcane (Noble Cane) - water soluble fertilizer for sugarcane ?,water soluble fertilizer for sugarcane- give 0;52;34 5 kg /acer
Plant Protection: Pomegranate - attack of oily spot on pomegranate ?,spray bromofol 50gm + captan 500gm / 100 liter of water for controlling oily spot on pomegranate
Weather: Others - Todays weather condition in pune,"Todays weather condition in pune is Partly cloudy, no light rainfall"
Plant Protection: Soybean (bhat) - pod borer on soybean,pod borer on soybean - spray fame 5 ml /15 lit of water
Government Schemes: Others - Govt. Schemes ?,Guide To Visit TAO.
Fertilizer Use and Availability: Pomegranate - fertilizer dose ?,0:00:50
Fertilizer Use and Availability: Mango - fertilizer dose ?,19:19:19+ microla
Cultural Practices: Onion - weed management in onion ?,spray goal 15 ml / 15 liter of water for onion
Weather: Others - weather report,partly cloudy and not possibility of rain
Varieties: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - VARIETIES FOR GRAM----,"VARIETIES FOR GRAM---- VIJAY ,VISHAL"
Weather: Others - Weather report,"cloudy weather , no possibility rain"
Varieties: Wheat - variety ?,"WHEAT- LOC- 1 , TRAMBAK , GOADAVARI TAPAVAN"
Varieties: Wheat - VARIETY OF WHEAT,"HD-2189, LOK -1, KUDARAT"
Plant Protection: Sugarcane (Noble Cane) - ATTACK STEM BORER on sugarcane,STEM BORER on sugarcane -apply rejent 8 kg / acre
Weather: Others - regarding registration for sms scheme,your registration is successful for kisan sms portal
Plant Protection: Bitter Gourd - weather in pune ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Government Schemes: Others - sms language changes?,Your Registration process successfully completed. ????? ?????? ????? ????????? ????? ?????? ???.
Plant Protection: Onion - FUNGUS AND SUCKING PEST ATTACK ON ONION?,Spray Actra 5 gm + M 45 30 GM+ 19:19:19 60 GM/15 Lit of Water.
Fertilizer Use and Availability: Pomegranate - fruit size and quality?,give 00 00 50 through spray and drip.
Plant Protection: Tomato - attack of cutworm in tomato ?,drenching blue copper 30gm + humic acid 30ml+ chloropyriphos 30ml / 15 liter of water in tomato
Agriculture Mechanization: Cucumber - attack of thrips on cucumber,thrips on cucumber -Spray of rijent 30 ml per pump.
Weather: Others - WEATHER,CLAUDY
Field Preparation: Others - Asked About SMS ?,Your Registration process successfully completed.
Fertilizer Use and Availability: Potato - FERTILIZER DOSE FOR POTATO?,1 BAG UREA + 2 BAG SSP + 25 KG MOP / ACRE
Market Information: Others - ASKED ABOUT SMS Activation?,The service on his mobile has been activated
Plant Protection: Brinjal - Disease Attack- Blight Attack?,Spray M-45 30 gm/15 Lit of Water.
Plant Protection: Potato - BLIGHT ATTACK ON POTATO?,SPRAY CARBENDAZIN 10 GM + MINRAL OIL 100 ML + STICKER / 10 LIT OF WATER
Seeds and Planting Material: Chillies - varities of chillies?,"varities of chillies are nirmal 913, 1124,960,1012,1326,869, sitara, pusa jwala, sadabahar"
Market Information: Brinjal - market rate of brinjal,market rate of brinjal = Rs 1000 - 3000 per quintal
Field Preparation: Others - SCHEME OF CATTLE ?,PASHUSAVARDHAN VABHAGAT CHOKASHI KARA
Plant Protection: Cotton (Kapas) - Attack of red leaf---,SPRAY UREA - 200 GRAM + MgSO4 -- 100 GRAM+bavistin 30 gram+2% DAP IN 15 LIT OF WATER
Plant Protection: Onion - attack of sucking pest on onion,spray of karate 20 ml + M 45 30 gm per pump on onion
Plant Protection: Cabbage - Caterpillar Attack?,Decis -10 ml/15 liter water.
Fertilizer Use and Availability: Onion - fert dose,19:19:19 2 kg+macrolla 1 lit +humic acid 1 lit water /acre
Government Schemes: Others - SMS Registration process ----,Your SMS Registration process successfully completed.
Seeds and Planting Material: Garlic - asked about varieties of garlic ?,"varieties of garlic- Godavari ,shevta"
Plant Protection: Marigold - CUTTING PERIOD,CUTTING PERIOD OF MARIGOLD NOV-DESEMBER
Weather: Others - weather report?,Partly cloudy no possibility of rain
Seeds and Planting Material: Potato - varities of potato,"varities of potato = kufri sinduri, jyoti, pukharaj, lavkar, surya"
Agriculture Mechanization: Others - Drip Irrigation subsidies.,"50-60 % subsidies, guide to visit TAO."
Agriculture Mechanization: Others - damping off,Humic Acid 30ml/15 Lit of Water Drenching.
Plant Protection: Pomegranate - oily spot ?,bacterianashak vaparave
Market Information: Onion - onion ret info.,onion ret 1625/q
Seeds: Wheat - variety?,"tapovan ,2189 hd , nifad 434"
Plant Protection: Leafy Vegetable - Attack of Caterpillar?,nimboli ark fawara
Fertilizer Use and Availability: Pomegranate - fertilizier for pomo?,shenkhat 50kh+18:46:00 2kh+potash 1kh+borokal 200 gram/zad takave
Weather: Others - WEATHER REPORT ?,today climate - partly cloudy and no possibility of rain
Agriculture Mechanization: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - variety of gram,"variety of gram-vijay, vishal, jaki"
Vegetative Propagation and Tissue Culture: Chillies - variety of chilli,"variety of chilli - sitara, jwala, jyoti, teja, agnirekha"
Seeds and Planting Material: Potato - variety ?,"kufari sinduri , kufari lavkar"
Plant Protection: Cotton (Kapas) - Todays weather condition in shirur,"Todays weather condition in shirur is Partly cloudy, no light rainfall"
Plant Protection: Sugarcane (Noble Cane) - all cultivation managemnt,info given
Plant Protection: Sugarcane (Noble Cane) - ATTACK OF SHOOT BORER---,ATTACK OF SHOOT BORER--- APPLICATION OF THIMATE
Plant Protection: Onion - Thrips Attack ?,atara 5 gm+radomil gold 30 ml/15 liter water
Agriculture Mechanization: Brinjal - WEATHETR IN PUNE ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Plant Protection: Pigeon pea (red gram/arhar/tur) - jassids on flower?,Spray Karate15ml/15 Lit of Water
Plant Protection: Jojoba - WEATHER IN PUNE ?,CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN
Plant Protection: Chillies - LEAF CURL ON CHILLI,LEAF CURL ON CHILLI - Confidor super 6 ml + + bavistin 30 gm + 15 ml perfect / 15 lit of water
Plant Protection: Safflower (kusum/kardi) - fertilizer,dap 1bag /acre
Plant Protection: Maize (Makka) - BLIGHT ON MAIZE,BAVISTIN 30 GM /15 LITER WATER SPRAY
Plant Protection: Brinjal - Leaf Eating Caterpillar ?,Spray Proclaim 5gm/15lit of Water.
Plant Protection: Onion - weedicide,spray gaol+terga super
Market Information: Onion - MARKET RATE ONION-----,MARKET RATE ONION-----1700-1800/QUINTAL
Plant Protection: Pomegranate - ATTACK OF LEAF EATTING CATTERPILLAR?,SPRAY EKALUX 30 MILI IN 15 LIT OF WATER
Plant Protection: Cotton (Kapas) - ATTCK OF RED LEAF?,SPRAY UREA --200 GRAM + MgSO 4--100 GRAM IN 15 LI OF WATER
Agriculture Mechanization: Others - HTC CETER CONTACT,HTC CETER CONTACT-9822499265
Nutrient Management: Gladiolus - fertilizer dose for gladiolus,spray of 13:40:13 gm per pump
Plant Protection: Pumpkin - Shoot Borer Attack?,Spray Polo 25gm /15 Lit of Water.
Plant Protection: Sugarcane (Noble Cane) - white grub on sugarcane ?,white grub on sugarcane - apply forate 3 kg / acre
Seeds and Planting Material: Onion - onion variety?,"onion variety--panchganga,baswant-780"
Plant Protection: Cotton (Kapas) - Fungus Attack,Spray Bavistine 30gm/15lit of Water.
Vegetative Propagation and Tissue Culture: Banana - SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Nutrient Management: Onion - fertilizer dose for onion ?,fertilizer dose for onion- give 10;26;26 100 kg + urea 30 kg + sulphar 10 kg /acer
Market Information: Onion - market information ?,onion - 500-2100
Agriculture Mechanization: Tuberose - planting time of tuberose,planting time of tuberose- april-may
Fertilizer Use and Availability: Wheat - Fertilizer Dose –,Spray Microlla 30 ml/15 Lit of Water.
Agriculture Mechanization: Pomegranate - spray for flowering of pomegranate,spray for flowering of pomegranate -Spray Boom flower 30 ml+ 00:52:34 75 gm + microla 40 ml / 15 Lit of Water.
Government Schemes: Others - Govt Schemes- subsidies?,for subsidies please visit TAO office
Plant Protection: Banana - attack of blight on banana ?,spray tilt 15 ml / liter of water for banana
Market Information: Onion - ONION MARKET RATE,ONION MARKET RATE-1400-2500 RS /QU
Plant Protection: Drum Stick - CATTER PILER ON DRUMSTICK ?,CATTER PILER ON DRUMSTICK - SPRAY TRIAZOPHOS
Nutrient Management: Onion - asked about groth retardant in onion ?,spray lihocin 60 ml / 15 liter of water for onion after 2 month of plantation
Plant Protection: Tomato - for growth of tomato crop?,spray 19:19:19 50 gram + microlla 30 mili + humic acid 30 mili in 15 lit of water
Fertilizer Use and Availability: Pomegranate - fertilizern info.,00;52;34 wapar kara
Fertilizer Use and Availability: Pomegranate - FERTILIZER FOR POMOGRANATE?,00:52:34 5GRAM/LITER FAVARAVE
Plant Protection: Guava - attack pest,blue capar wapar kara
Plant Protection: Guava - CERCOSPORA ON GUAVA?,SPRAY COPER HYDROXIDE 2.5GRAM/LITER FAVARAVE
Varieties: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - varieties of gram,"vishal , virat , vijay"
Plant Protection: Pomegranate - nutrient dose for pomegranate,spray of tonic 2 ml per pump on pomegranate
Plant Protection: Brinjal - Powdery Mildew Attack?,Spray Bavistine 30gm/15lit of Water.
Fertilizer Use and Availability: Sugarcane (Noble Cane) - fertilizer dose,apply 100 kilo urea + 100 kilo 10 26 26 + 50 kilo neem powder + 20 kilo micronutrient/acre
Nutrient Management: Tomato - fertilizer dose for tomato,spray of 0:52:34 60 gm + microla 25 ml per pump
Agriculture Mechanization: Papaya - papaya market rate,papaya market rate - 700 -1600 rs /qit
Agriculture Mechanization: Sugarcane (Noble Cane) - fertilizer dose for sugarcane,Any
