Questions,KCCAns
Fertilizer Use and Availability: Sugarcane (Noble Cane) - fertilizer dose for sugarcane,apply 10:26:26 2 bag + manganese sulphate 10 kg + zink sulphate 10 kg + ferrous sulphate 10 kg + calcium magnesium sulphate 10 kg + borax 5 kg + neem cake 30 kg per acre for sugarcane
Fertilizer Use and Availability: Sugarcane (Noble Cane) - FERTILIZER FOR SUGARCANE,10;26;26 2 BAG + UREA 1 BAG /ACRE
Vegetative Propagation and Tissue Culture: Chillies - VARIETY OF CHILLI,"VARIETY OF CHILLI - AGNIREKHA, JWALA, JYOTI, TEJA"
Weather: Others - Ask about Weather Forecast?,Partly cloudy and light rain
Seeds: Sugarcane (Noble Cane) - sugarcane variety?,sugarcane variety .... co 86032
Plant Protection: Tomato - ATTACK OF Sucking Pest,Spray Actra 5 gm/+ Redomil Gold 30gm/15 Lit of Water
Plant Protection: Potato - wilt in potato,Drenching of bavistin 15 gm + humic acid 30 ml per pump
Field Preparation: Sugarcane (Noble Cane) - WEED IN SUGARCANE ?,SPRAY OF WEEDICIDE 24D
Bio-Pesticides and Bio-Fertilizers: Methi (Fenugreek) - TO CONTROL ATTACK OF BLIGHT ON METHI CROP,SPRAY REDOMIL GOLD 25 GM IN 10 LTR OF WATER TO CONTROL ATTACK OF BLIGHT ON METHI CROP
Fertilizer Use and Availability: Onion - Fertilizer ?,2% ????? 200 ?????/15 ???? ??????????? ???? ?????? ?????.
Plant Protection: Cotton (Kapas) - Sucking Pest ?,??????? 5?????+ ??????? ????? 30????? /15???? ??????????? ???? ?????? ?????.
Agriculture Mechanization: Amarphophallus (Surankand/Elephant Foot Yam) - asked about cotton caterpillar attack ?,Spray Redomil Gold 30gm/15Lit of Water.
Cultural Practices: Banana - variety of banana ?,"variety of banana- g-9, basarai"
Plant Protection: Soybean (bhat) - Thrips Attack ?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Varieties: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - varieties ?,Vijay vishal digvijay
Plant Protection: Others - farmer asked about current weather condition?,cloudy weather no possibil;ity of rainfall.
Agriculture Mechanization: Sugarcane (Noble Cane) - fertilizer dose for sugarcane?,fertilizer dose for sugarcane-apply 2 bag urea+ nimboli pend 20kg/acre
Fertilizer Use and Availability: Sugarcane (Noble Cane) - fertilizer dose?,fertilizer dose -2 bag urea + 20 kilo nimboli pend/acre
Cultural Practices: Onion - FERTILIZER FOR ONION?,FERTILIZER FOR ONION - 10:26:26 + SULPHAR
Fertilizer Use and Availability: Potato - Fertilizer Dose –,spary 19 :19:19 40 gram + Spray Microlla 30 ml/15 Lit of Water. Spray Redomil Gold 30gm/15Lit of Water.
Plant Protection: Drum Stick - Fertilizer Dose –,?????????? ????? 60 ????? + ?????? 100 ????? + ?? ?? ?? ??? ?????/ 15 ???? ??????????? ???? ?????? ?????.??????? ? ????? + ?????? ?? ???? + ?? ?? ?? ????? / ?? ??? ??????? ???? ?????? ???
Plant Protection: Potato - fungus attak ?,Spray Redomil Gold 30gm + admire 5gm /15 Lit of Water spraying.
Weather: Sugarcane (Noble Cane) - cultural practices?,?? ??????? ??? ???? ???? ?? ??? ?? ??? ????????? ?????? ????? ???? ???? ?????? ????
Market Information: Onion - MARKET RATE ONION----,MARKET RATE ONION----1400-1500/QUINTAL
Plant Protection: Guava - white fly on guava?,spray record 0.50gram/liter favarave
Plant Protection: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - variety of gram,"variety of gram - vijay , vishal , digavijaya"
Weather: Others - ASKED ABOUT WEATHER FORCAST?,Partly cloudy and light rain
Seeds: Wheat - VARIETIES OF WHEAT CROP,"HD 2189, TRYAMBAK, TAPI, KALYAN SONA, LOK 1 VARIETIES OF WHEAT CROP"
Fertilizer Use and Availability: Pomegranate - fertilizer for pomegrenate,fertilizer for pomegrenate - 10;26;26 1 BAG /ACRE
Plant Protection: Cotton (Kapas) - White fly attack?,Spray Karate10ml/15 Lit of Water
Plant Protection: Ridge Gourd - Thrips Attack ?,Spray Actra 5 gm /15 Lit of Water.
Weather: Others - weather information of baramati?,weather information of baramati-mostly clear weather
Plant Protection: Curry Leaf - ATTACK OF HUMNI?,Drenching of Chloropyriphos 40 ml + humic acid 30 ml / 15 lit of water.
Field Preparation: Wheat - Weather Report?.,"???? ?????? ????? - ???? ???????, ?????? ??????? ?????? ???"
Plant Protection: Others - SHOOT BORER ON BRINJAL,SHOOT BORER ON BRINJAL - spray spinosad 6 ml / 15 lit water
Plant Protection: Maize (Makka) - Leaf Eating Caterpillar,spray Chloropyriphos 30ml/15 Lit of Water
Plant Protection: Cotton (Kapas) - Blight Attack?,Spray Tilt 30gm/15 Lit of Water.
Plant Protection: Tomato - control of red mite,spraying of omite 5ml/15Lit of Water
Plant Protection: Pomegranate - attack of nematodes?,apply nematodcite
Weather: Others - what is weather condition in pune district ?,"Partly cloudy, no possible of rain ."
Agriculture Mechanization: Sugarcane (Noble Cane) - Attack of White Grub?,Use Fertera 4 kg /acre / Regent 4 kg / acre.
Plant Protection: Cauliflower - WILT ON VEGETABLE,WILT ON VEGETABLE - REDOMIL GOLD 30 GM + HUMIC ACID 30 ML /15 LITER WATER SPRAY
Plant Protection: Bhindi(Okra/Ladysfinger) - attack pest,Spray Actra 5 gm/15 Lit of Water.
Plant Protection: Pomegranate - Leaf Eating Caterpillar ?,SPARY PROCLAIM 5 GM / 15 LITER OF WATER
Varieties: Maize (Makka) - variety of maize?,"variety of maize .... Deccan Double Hybrid, Ganga Safed"
Plant Protection: Onion - Aphids Attack ?,Spray Metador 25 ml / 15 lit of water
Weather: Others - weather information of indapur?,weather information of indapur-cloudy weather
Seeds: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - variety of gram?,variety of gram ..... Vijay
Plant Protection: Bhindi(Okra/Ladysfinger) - Thrips Attack ?,actara 5 gm+ ridomil gold 30 gm/15 liter water
Plant Protection: Sugarcane (Noble Cane) - Shoot Borer Attack,Spray Chloropyriphos 30ml/15 Lit of Water.
Agriculture Mechanization: Sugarcane (Noble Cane) - new variety of sugarcane,new variety of sugarcane -3102
Plant Protection: Onion - blight & thrips on onion,blight & thrips on onion -Spray of rijent 30 ml +Ridomil gold 30 gm/per pump.
Plant Protection: Cotton (Kapas) - Blight Attack,Spray Bavistine 30gm/15lit of Water.
Weather: Others - Todays weather condition in junnar,Todays weather condition in junnar is Partly cloudy Precip chance: 5% Humidity: 87%
Animal Breeding: Goat - breed of goat ?,"breed of goat -osmanbadi , sangamneri"
Plant Protection: Onion - White Fly Attack?,Spray Actra 5 gm/15 Lit of Water.
Plant Protection: Sesame (Gingelly/Til)/Sesamum - Sucking Pest,Spray Actra 5 gm/15 Lit of Water.
Fertilizer Use and Availability: Cluster Bean - fertilizer?,60:60:60 npk / hector
Plant Protection: Chillies - attack of sucking pest on chilli,spray of actra 10 gm = virosol 30 gm per pump on chilli
Plant Protection: Brinjal - planting time of brinjal,brinjal can transplant in octomber month
Weather: Cabbage - Leaf Eating Caterpillar ?,Spray Polo 25gm /15 Lit of Water.
Nutrient Management: Potato - fertilizer dose for potato,apply 19:19:19 4 kg per acre for potato
Nutrient Management: Sugarcane (Noble Cane) - fertilizer dose for sugarcane,apply 10:26:26 2 bag + urea 2 bag + micronutrient 10 kg per acre
Plant Protection: Sugarcane (Noble Cane) - weed control,2 4 D ?????? ??? ?????? ??????? ????? ????.
Cultural Practices: Maize (Makka) - variety?,"Deccan Double Hybrid, Ganga Safed."
Plant Protection: Maize (Makka) - Asked about SMS Activation?,Your Registration process successfully completed.
Seeds: Sugarcane (Noble Cane) - verieties?,"Sagarcane-CO- 86032, CO- 671, CO- 265, 94012. ??-86032, ??-94012, ??-265, ??-671."
Seeds and Planting Material: French Bean - spacing of drumstick ?,spacing of drumstick - 6 x 6 ft
Plant Protection: Chillies - Attack of aphids /jassids,spray of confidor 10 ml + asataf 15 gm per pump
Weather: Others - Asked About SMS Activation?,YOUR REGISTRATION PROCESS IS SUCCESSFULLY COMPLETED
Plant Protection: Sugarcane (Noble Cane) - Shoot Borer Attack ?,Spray Proclaim 5gm/15lit of Water.
Plant Protection: Cotton (Kapas) - asked aobut reddening of cotton,give magnesium sulphate 10kg /acre
Plant Protection: Ginger - Attack of Caterpillar?,Spray Chloropyriphos 30ml/15 Lit of Water.
Field Preparation: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - GRAM VARIETY ?,"GRAM VARIETY-VIJAY, VISHAL"
Agriculture Mechanization: Others - Asked About Weather Report ?,Partly cloudy & possibility of light rainfall.¬¬¬¬
Weather: Others - ASKED ABOUT WEATHER FORCAST,Partly cloudy and light rain
Plant Protection: Others - asked about attack of snail,spraying of lime or metalaxyl or snail kill
Plant Protection: Sponge Gourd - Fungus Attack?,Spray Actra 5 gm/15 Lit of Water.+ Spray Bavistine 30gm/15lit of Water.
Weather: Pigeon pea (red gram/arhar/tur) - weather info.,"weather forecast -atmosphrer is cloudy, possiblity of light rainfall"
Field Preparation: Sorghum (Jowar/Great Millet) - stem borer in jowar ?,Spray Chloropyriphos 30ml/15 Lit of Water.
Bio-Pesticides and Bio-Fertilizers: Chillies - TO CONTROL ATTACK OF SUCKING PEST ON CHILLI CROP,SPRAY THIOMETHAKZOM 5 GM IN 15 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON CHILLI CROP
Field Preparation: Cotton (Kapas) - WEATHER IN PUNE ?,Cloudy weather Possibility of High to Medium Rainfall
Field Preparation: Others - sowing of wheat ?,sowing of wheat-octomber- 15 november
"Plant Protection: Mosambi - Fruit drop? (Citrus, lime, ??????)",Fruit drop - 1.5 GA+50 lit alcohol +1 kg urea/100 lit water.spraying
Plant Protection: Orange - attack of catterpillar on catterpillar ?,spray chloropyriphos 30 ml / 15 liter of water for lemon
Fertilizer Use and Availability: Cotton (Kapas) - Sucking Pest?,Spray Actra 5 gm /15 Lit of Water.
Market Information: Sugarcane (Noble Cane) - ASKED ABOUT HERBICIDE FOR SUGARCANE CROP,SPRAY 2-4 D SODIUM 70 ML WITH METRABUNZIN 10 GM IN 15 LTR OF WATER HERBICIDE FOR SUGARCANE CROP
Plant Protection: Sugarcane (Noble Cane) - fertilizer dase of suarcan ?,0 52 34 + 0 0 50 2 bag / acar
Plant Protection: Brinjal - Attack of Thrips?,Spray Actra 5 gm /15 Lit of Water.
Fertilizer Use and Availability: Sugarcane (Noble Cane) - FERTILIZESR FOR SUGARCANE,FERTILIZESR FOR SUGARCANE - ASETOBACTOR 3 KG /ACRE
Plant Protection: Cotton (Kapas) - Powdery Mildew Attack?,Spray Tilt / score / kavach 30gm/15lit of Water.
Plant Protection: Tomato - CUTWARM ON TOMATO,CUTWARM ON TOMATO - CLOROPAYRIFOS 30 ML /15 LITER WATER DRENCHING
Government Schemes: Others - Farmer has requested About SMS Activation?,SMS service scheme is registered on your mobile number
Market Information: Sesame (Gingelly/Til)/Sesamum - market information ?,til - 9500-10000
Plant Protection: Marigold - Fungus Attack?,Spray Redomil Gold 30gm /15 Lit of Water.
Plant Protection: Sugarcane (Noble Cane) - FERTILIZER,10 26 26 +UREA
Weather: Others - Weather Report,Cloudy weather Possibility of High to Medium Rainfall
Weather: Others - Asking about Weather Report ?,Partly cloudy and light rain
Plant Protection: Ginger - VARIETY,MAHIM KALIKAT
Plant Protection: Chillies - FERTILIZER,10 26 26 +UREA
Plant Protection: Potato - VARIETY ?,"KUFARI SINDUARI , KUFARI LAVAKAR"
Plant Protection: Cotton (Kapas) - FERTILIZER,10 26 26 +UREA
Soil Testing: Others - SOIL TESTING,020-25537110
Plant Protection: Onion - Blight Attack?,Spray Bavistine 30gm/15lit of Water.
Plant Protection: Onion - HERBICIDE FOR ONION---,HERBICIDE FOR ONION--- GOAL + WHIP SUPER
Plant Protection: Marigold - snell attack in marigold?,snell attack in marigold- apply snell kill
Plant Protection: Hibiscus (Gurhal) - farmer had enquired about control measure for mealy bug?,to control mealy bug Spray Azadirictine 30 ml/15 Lit of Water.
Plant Protection: Banana - fruit drop in banana,apply calcium nitrate + potash + boron
Fertilizer Use and Availability: Onion - farmer had enquired about fertilizer dose for onion?,fertilizer dose for onion apply 10:26:26 2 bag + urea 1 bag/acre
Fertilizer Use and Availability: Sugarcane (Noble Cane) - fertilizer,apply 00;52;34 4 kg /acre
Seeds and Planting Material: Zentedeschia - about sontura flower,we will call back after collecting information about sontura.
Plant Protection: Coconut - Attack Stem Borer?,Spray Nuwan 20ml/ 15Lit of Water.
Seeds: Wheat - varities of wheat,"varities of wheat = trambak, tapovan, godavari"
Market Information: Tomato - MARKET RATE OF TOMATO,MARKET RATE OF TOMATO - LOCAL MUMBAI QUINTAL 4820 2000 1000 1500
Fertilizer Use and Availability: Maize (Makka) - FERT DOSE,19:19:19 30gm+macrolla 30+humic acid 30 ml /15 Lit of Water
Plant Protection: Onion - Fungus Attack?,Spray Actra 5 gm/15 Lit of Water.+ Spray Bavistine 30gm/15lit of Water.
Plant Protection: Bitter Gourd - SUCKING PEST ?,Spray Rogar 15ml/15 Lit of Water.
Plant Protection: Sugarcane (Noble Cane) - Attack of White Grub ?,Use Fertera 4 kg /acre / Regent 4 kg / acre.
Plant Protection: Guava - flower drop?,Spray Plano fix 5ml/15 Lit of Water.
Seeds: Maize (Makka) - varities of maize,varities of maize = Sugar 75
Plant Protection: Others - Asked About SMS deactivation?,Your SMS deactivation process successfully completed.
Plant Protection: Soybean (bhat) - for attack of leaf eating caterpillar?,??????????? 30 ???? ????? ???? ?????? ???.
Plant Protection: Pomegranate - flowering problem?,spray nitro benzin and 00 52 35
"Plant Protection: Others - farmer asked , what is weather condition in indapur district ?","Partly cloudy, not Possibility of Rainfall"
"Weather: Others - farmer asked , what is weather condition in pune district ?","Partly cloudy, not Possibility of Rainfall"
Seeds and Planting Material: Custard Apple - verities?,"balanagar, arka sahan"
Plant Protection: Others - Asked About SMS ?,Your Registration process successfully completed.
Plant Protection: Bottle Gourd - all cultivation managemnt,info given
Plant Protection: Others - Asked About SMS Activation?,Your Registration process successfully completed.
Plant Protection: Sugarcane (Noble Cane) - ATTACK OF ROOT ROT?,DREANCHING OF BAVISTIN ----30 GRAM + HUMIC ACID ---- 50 ML IN 15 LIT OF WATER
Plant Protection: Pomegranate - all cultivation managemnt,info given
Plant Protection: Cotton (Kapas) - Flower Drop,Spray Boom flower 20ml/15lit of Water.
Field Preparation: Cotton (Kapas) - FERTILIZER,10 26 26 +UREA
Floriculture: Cabbage - FERTILIZER,10 26 26 +UREA
Plant Protection: Cotton (Kapas) - mealy bug attack on cotton ?,Admire 5 gm + bavistin 30 gm /15 litar water
Plant Protection: Cotton (Kapas) - fertilizer,10 26 26 +urea
Fertilizer Use and Availability: Banana - Fertilizer Dose –,Spray 00-52-34 30gm/15lit of water.
Plant Protection: Potato - redmite on potato,redmite on potato-spray oberon5 ml / 15 lit of water
Fertilizer Use and Availability: Brinjal - Fruit Borer Attack?,Spray fame 5ml/15 Lit of Water.
Plant Protection: Mango - Stem Borer Attack?,Spray Nuwan 20ml/15Lit of Water.
Plant Protection: Chillies - control of sucking pest,spraying of actra 5 gm / 15 liter water
Plant Protection: Onion - attack of blight on onion,spray cypermethrin 7. 5ml + antrcall 37.5 gm+ 15 ml sticker / 15 lit water
Plant Protection: Bail - all cultivation managemnt,info given
Fertilizer Use and Availability: Soybean (bhat) - herbicide spary soyabean ?,khurapani kara
Fertilizer Use and Availability: Maize (Makka) - fertilizer dose,application of 00:00:50
Plant Protection: Brinjal - farmer had enquired about control measure for red mite on brinjal?,to control red mite on brinjal Spray Oberon 15ml /15Lit of Water.
Weather: Others - Weather Forecast ?,climate is partly cloudy and possibility of light rain
Plant Protection: Tomato - Fungs Attack tomato?,Fungs Attack tomato-Spray Tilt/kavach 30gm/15 Lit of Water.
Plant Protection: Cotton (Kapas) - Attack of Caterpillar?,Spray Chloropyriphos 30ml/15 Lit of Water.
Plant Protection: Onion - weedicide in onion,weedicide in onion - gol 150 ml /acre
Plant Protection: Beans - Fertilizer spray-,"spray 19 19 19 60 gm + microlla 30 ml + bavistin 30 g, / 15 litar water"
Plant Protection: Maize (Makka) - weed in maize ?,application of weedicide 24D
Plant Protection: Pomegranate - attack of sucking pest on pomegranate ?,spray Pegasuses 25 gram + microlla 30 mili + 19:19:19 50 gram in 15 lit of water
Weather: Others - weather information about pune?,"weather forecast -atmosphrer is cloudy, possiblity of light rainfall"
Plant Protection: Ginger - blight on ginger ?,Spray M-45 30 gm/15 Lit of Water.
Plant Protection: Cotton (Kapas) - Thrips Attack ?,Spray Confidor super / Confidor 10ml/15 Lit of Water.
Plant Protection: Ginger - fungs attak?,Spray M-45 30 gm/15 Lit of Water.
Government Schemes: Others - SMS ACTIVATION?,THE SERVICE HAS BEEN ACTIVATED SUCCESSFULLY
