Questions,KCCAns
Plant Protection: Green Gram (Moong Bean/ Moong) - Leaf Eating Caterpillar ?,spray Chloropyriphos 30ml in 15 litre water
Weather: Others - Asked about Weather report ?,"Partly claudy, Chances of rain after 7 sept"
Fertilizer Use and Availability: Others - preparation of of jivmrut,preparation of of jivmrut- 10kg cow dung + cow urin 10 lit. +jiggery 2 kg + dal powder + PSB 1 lit.+ KSB 1 lit. / 100 liter of water. use afer 8 days for drenching
Plant Protection: Chrysanthemum - attack of thrips on chrysanthemum?,Spray Karate15ml/15 Lit of Water
Cultural Practices: Onion - herbicide on onion?,spray whip super 1.5 mili+gol 1 mili?liter favarave
Plant Protection: Chillies - Attack of Sucking ?,Spray Actra 5 gm/15 Lit of Water.
Plant Protection: Chillies - Sucking Pest ?,Spray Record 10 gm or Pride 10 gm / 15 lit of water
Plant Protection: Others - Weather Report ?,"Partly cloudy, not possibility with light rain."
Cultural Practices: Potato - season ?,80-90 day after planting
Plant Protection: Potato - Fertilizer ?,Spray 00-52-34 60 gm + 00-00-50 60 gm + microlla 30 +/15lit of water.
Plant Protection: Pomegranate - fertilizer for pomo?,By drip calcium nitrate + boron 1 kg/acre ????? ???? ???????? ???????? + ????? 1 ????/????
Plant Protection: Onion - Caterpillar Attack-Fruit Borer Attack?,Spray Rogar 15ml/15 Lit of Water.
Plant Protection: Onion - blight and thrips on onion?,folicure 0.50ml/liter+regent 2 mili/liter favrave
Seeds and Planting Material: Pomegranate - VARIETIES?,"Pomogranate- Ganesh, Bhagva, Mradula, Shendri, Arkta? ????, ????"
Cultural Practices: Potato - variety of potato?,"variety of potato = kufari lavakar, kufari chandramukhi, kufari sinduri, kufari jyoti"
Plant Protection: Sugarcane (Noble Cane) - variety ?,"Sagarcane-CO- 86032, CO- 671, CO- 265, 94012."
Seeds and Planting Material: Onion - contact number of onion research centre rajgurunagar?,"contact number of onion research centre rajgurunagar-02135-222026, 222697"
Government Schemes: Others - Asked about SMS scheme activation,Your registration for SMS scheme is activated.
Nutrient Management: Drum Stick - foliar spray for drumstick ?,foliar spray for drumstick- spray 0;52;34 75gm + nitrobenzin 30ml / 15 liter of water
Weather: Others - farmer has asked about current weather condition of his tashil?,"weather forecast - atmosphrer is cloudy, possiblity of light rainfall"
Weather: Others - Todays weather condition in shirur,"Todays weather condition in shirur isPartly cloudy, light rainfall"
Nutrient Management: Pomegranate - foliar spray for pomegranate ?,foliar spray for pomegranate - spray 0;52;34 75gm + nitrobenzin 30ml / 15 liter of water
Seeds and Planting Material: Garlic - seed rate for garlic ?,500-600 kg /hector seeds required for garlic
Market Information: Onion - asked about market rate onion ?,RS 700-1900/qtl onion market pune
Water Management: Others - Asked About SMS Activation?,Your Registration process successfully completed.
Market Information: Onion - MARKET RATE OF ONION,-''-MARKET RATE OF ONION - LAL AKLUJ QUINTAL 85 1700 1000 1400
Plant Protection: Bhindi(Okra/Ladysfinger) - Farmer has enquired about control measure for sucking pest in bhindi?,to control sucking pest in bhindi spray Chloropyriphos 30ml/15 Lit of Water.
Weather: Others - weather forecast information?,???? ?????? ????? -???? ??????? ?????? ?? ????? ??????? ?????? ???.
Nutrient Management: Onion - Farmer has requested for nutrient for onion?,nutrient for onion 19:19:19 40 gm + microlla 30 ml/15 lit of water
Seeds and Planting Material: Pomegranate - verieties?,"P Granate- Ganesh, Bhagva, Mradula, Shendri, Arkta? ????, ????"
Plant Protection: Ginger - ATTACK OF WHITE GRUB----,ATTACK OF WHITE GRUB----APPLICATION OF CHLOROPYRIPHOS 500 ML /ACRE
Plant Protection: Ginger - control of blight attack ?,spraying of score + kavach
Plant Protection: Ginger - ATTACK OF BLIGHT-----,ATTACK OF BLIGHT----- SPRAY REDOMIL GOLD ----30 GRAM + 00:52:34 ---60 GRAM + MICROLA ---40 ML IN 15 LIT OF WATER
Water Management: Others - control of water salt,use stabilizer
Weather: Others - Farmer has requested about current weather condition?,According to weather report there will possibility of cloudy weather and light rain
Vegetative Propagation and Tissue Culture: Marigold - variety,"pusa basanti,pusa narangi"
Plant Protection: Tomato - attack of nematode on tomato,nematode on tomato - drenching nematicide 1 lit / acre
Government Schemes: Others - Govt. Schemes-,"50-60 % subsidies, guide to visit TAO."
Plant Protection: Sugarcane (Noble Cane) - Farmer has enquired about control measure for caterpillar attack in sugarcane?,to control caterpillar attack in sugarcane Spray Nuwan 20ml/15Lit of Water
Plant Protection: Sugarcane (Noble Cane) - weediside ?,2 4 d
Bio-Pesticides and Bio-Fertilizers: Others - procedur for making of jivamrut?,procedur for making of jivamrut-200lit water+25 kg dung+7 lit cow urin+2kg dal flour+2kg jaggery+ curd
Fertilizer Use and Availability: Onion - ASKED ABOUT FERTILIZER FOR ONION CROP,2 BAG 10:26:26 WITH 1 BAG UREA PER ACRE FERTILIZER FOR ONION CROP
Plant Protection: Drum Stick - Farmer has enquired about control measure for yellowing in drumstick?,to control yellowing in drumstick Spray Bavistine 30gm/15lit of Water.
Bio-Pesticides and Bio-Fertilizers: Mango - TO CONTROL ATTACK OF SUCKING PEST ON MANGO CROP,SPRAY THIOMETHAKZOM 5 GM IN 15 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON MANGO CROP
Plant Protection: Potato - Leaf Eating Caterpillar?,????? 100 - 4 ????/15 ???? ??????? ?????? ?????. ?????? ????-40 ?????/15 ???? ????.
Plant Protection: Pigeon pea (red gram/arhar/tur) - Leaf Eating Caterpillar ?,Spray Chloropyriphos 30Ml /15 Lit Of Water.
Plant Protection: Soybean (bhat) - Shoot Borer Attack?,Avaunt 15.8 % EC 200 ml / 200 liter of Water
Plant Protection: Chillies - Thrips Attack ?,Actra 5 Gram + Karate 15 ML / 15 Liter Water
Market Information: Potato - all india market webcite ?,www.msamb.com
Plant Protection: Sorghum (Jowar/Great Millet) - weediside ?,2 4 d
Plant Protection: Tomato - ASKED ABOUT TOMATO CATTERPILAR ATTAK ?,????????? ???? 30 ???? / 15 ?? ??????? ?????? ?????.
Government Schemes: Others - Farmer has requested about current weather condition?,According to weather report there will possibility of cloudy weather and light rain
Weather: Others - Weather Condation ?,opssibility of rain
Vegetative Propagation and Tissue Culture: Onion - VARIETY OF ONION,"VARIETY OF ONION - N-53, NASHIK RED , BASAVANT , PANCHGANGA"
Field Preparation: Wheat - asked about wheat fertilizer doses ?,????? ????? 30 ????/15???? ??????? ????? ????? ?????.
Plant Protection: Brinjal - ASKED ABOUT BRINJAL CATTERPILAR ATTAK ?,????????? ???? 30 ???? / 15 ?? ??????? ?????? ?????.
Agriculture Mechanization: Onion - fertilizer dose for onion?,fertilizer dose for onion- apply 10:26:26 1 bag/acre
Weather: Others - weather,possibility of rain
Fertilizer Use and Availability: Chillies - Sucking Pest?,Spray Actra 5 gm /15 Lit of Water. Spray Actra 5 gm /15 Lit of Water.
Seeds and Planting Material: Pomegranate - pomo variety?,pomo variety ..... bhagava
Plant Protection: Bhindi(Okra/Ladysfinger) - attack of caterpillar on bhendi,spray of profex super 30 ml per pump on bhendi
Plant Protection: Others - weather ?,Partly cloudy and possibility of light rain
Weather: Others - Asked About Weather report ?,"Partly cloudy, possibility of light rain"
Nutrient Management: Cauliflower - nutrients for cauliflower?,spray 0 52 34 - 50 graam / 15 litre water
Plant Protection: Cotton (Kapas) - WEATHER IN PUNE ?,"Partly cloudy, possibility with light rain."
Plant Protection: Tomato - Farmer has enquired about control measure for wilting in tomato?,to control wilting in tomato take drenching of Redomil Gold 30gm + humic acid 30 ml /15Lit of Water.
Weather: Others - Todays weather condition in indapur,"Todays weather condition in indapur is Partly cloudy, light rainfall"
Weather: Others - Asked about weather forecasting?,Partly cloudy and possibility of light rain
Seeds and Planting Material: Chillies - Farmer has enquired about variety of chilly?,"variety of chilly are sitara,sankeshwari-1,pune jwala"
Seeds: Maize (Makka) - vaerity maize ?,"MAIZE-Deccan Double Hybrid, Ganga Safed, jk seeds."
Fertilizer Use and Availability: Banana - farmer had enquired about fertilizer dose for banana?,fertilizer dose for banana apply 00:52:34 2-3 kg/acre
Weather: Others - weather information,"Partly cloudy, No Possibility of Rain"
Agriculture Mechanization: Sugarcane (Noble Cane) - weedicide in sugarcane,"weedicide in sugarcane - 2,4-d 40"
Weather: Others - Weather Report ?,cloudy weather light chance of rainfall
Plant Protection: Pomegranate - abour fertilizer dose,Spray Boom flower 30ml/15lit of Water.
